userName,score,content,length,at,sentiment_label
Efren Tumonglo,1,Sangat buruk ketika mian ini selalu dapat musuh level tinggi tidak dapat level lawan yang seimbang naik turun terus teropi,122,2025-02-26 01:04:00,negative
Hadiです,1,"Signal penuh 4G+ latensi juga bagus tapi tiba2 lag parah kalau ketemu musuh habis itu main lagi lancar lagi, DEVELOPER TOLONG SELIDIKI KEMUNGKINAN PENGGUNAAN CHEAT YANG MEMBUAT PLAYER LAGGING PARAH",197,2025-03-14 18:48:04,negative
algandy affraya,3,"yang kusuka dari game ini tuh game nya unik. dan lumayan bagus. tapi kekurangan nya. player nya kartunya overlevel. try hard dan toxic ""kebanyakan"" dan itu yg bikin gw gasuka",174,2025-03-24 21:29:40,negative
dadan juhenda,1,masih ada bug.. kadang musuh suka cepet ngeluarin pasukan nya padahal pada berat berat,86,2025-04-27 09:31:32,negative
Asfar Aswin,2,"game asw, harusnya kasi saksi buat yang meninggalkan permainan ketika main ber 2 paling ngeselin kalo lagi main malah di biarin sendiri, player jadi gampang dan semena² keluar gameplay soalnya gak ada saksi suuu",211,2025-03-01 07:11:09,negative
veloandme,1,"Tidak seimbang dan ga pernah berubah. Sistem nya Pay2Win, terutama kalo mau punya banyak Evo dan level yang tinggi",114,2025-03-19 18:37:10,negative
7b kang,1,balancing paling ampas di game ini dari dulu masa ketemu lv 10 sedang kan diriku lv 8 bayang kan beda 2 level berat nya minta ampun....,135,2025-02-27 15:41:26,negative
Royhan,3,"dari duluuuuuuuuuu pertandingannya ga adil, apaan coba aku lv12 musuh lv15, ini kan game rame, ga sepi, harusnya bisa lebih adil",128,2025-04-03 11:58:30,negative
Alfin Dzaky,1,"Developer stupid, ngasih lawan gk pernah seimbang. kalau mau para playernya g kabur ke game lain, berilah batasan level tembok raja agar tidak bentrok antara level peleton 12 dan level peleton yg sudah 14",204,2025-02-28 08:22:59,negative
langit dan maliq Dwinanto,1,"Gamenya ga adil, setiap sudah mau ganti arena selalu dikalahin sampe turun setengah arena. Eliksir lawannya lebih cepat daripada eliksir punya saya.",148,2025-03-08 20:22:08,negative
Ini Gelo,3,"woi jaringan nya perbaiki lagi dong masak udah masak masang troop gara gara jaringan lag entah dari mana jadi langsung ilang satu tower , padahal wifi jaringan udah kenceng juga",177,2025-02-10 13:38:01,negative
SEGABRUST,1,P2W kental banget F24 gak akan bisa bersaing emang tipikal supercell banget pantesan gamenya sepi sekarang... Kontennya juga monoton dan membosankan...,151,2025-02-09 17:04:51,negative
farhan syahbandi,1,"pantes game sepi , apa2 suruh bayar kalau mau nyeimbangin",57,2025-07-07 10:15:51,negative
Jajets,1,"kecewa berat, mode 2v2 dihilangkan",34,2025-06-30 20:40:51,negative
Work Find,1,"ini adalah permainan yang berbahaya, dapat membuat Anda marah dan kesal. setelah 3 hari bermain saya menghapusnya.",114,2025-07-02 05:02:51,negative
ariel com,1,"game nya makin ambyar...sering ngelak pas dimainkan,sangat membosankan,padahal jaringan Wifi nya gak ada masalah.",113,2025-04-04 06:12:21,negative
Rafi 17,1,"maaf kenapa ya memperbarui terus,nanti ditunggu tiba tiba suruh login ulang lagi,dan ngulang bingung ini game bisa dimainkan atau tidak",135,2025-03-21 20:27:21,negative
Ferry Vidiansyah,1,please lah kasi lawan imbang masa di sandingkan sama kita yang kecil2 emang game P2W bah,88,2025-06-30 20:26:14,negative
Ahmad Reivandi,5,"malah jadi game pay to win, aneh banget. kartu evolusi sangat gak balance, yang bisa bayar yang menang game rusak",113,2025-03-20 19:27:42,negative
Fikri nur Rachman,1,game laknat beberapa hari lalu baru update 2.5Gb sekarang update lagi 1.8GB mending uninstall,93,2025-07-05 00:16:09,negative
Harris dighuan san Teng,1,game ini selalu kasih saya musuh yang kuat sampai mahkota saya turun jarang sekali saya menang tolong perbaiki game PAY TO WIN!.,128,2025-03-27 07:09:35,negative
Ikhlasulamal Darajad,1,game paling gak jelas jengkelin jangan di download asli gw kesel banget ama game ini bisa bisa nya kalau musuh nyerah ngelag terus ini dari sinyal gw atau game nya dih hhh,171,2025-03-26 14:19:48,negative
Andi Setya shey,1,"semakin kesini semakin kesana,tiap push pasti jelek jaringan padahal pake wafi sinyal bagus, pas kali main tiba2 ngelag ,",121,2025-04-05 18:23:36,negative
Aditya Firman,3,"Pengalaman Selama Bermain Selalu saja terjadi Lag/Kehilangan jaringan Setelah update Selalu saja begitu,, padahal jaringan aman lancar jaya",139,2025-04-07 16:26:46,negative
Yos Davit,1,"kalo update ga ngotak,hampir 1gb an,udh main cr dari 2018 smpt hapus krn update mulu,skrg baru main lagi ehh bbrp minggu kemudian update lagi mana 700an mb lagi",160,2025-03-31 20:37:55,negative
Daus Muhammad,3,"terlalu banyak update, dalam seminggu sudah 2x saya update",58,2025-07-04 18:09:51,negative
Akbari Hardiansyah,1,"kasih lawan yang setara lah, masa kita lvl 10 musuh lvl 11 lvl 12, ga imbang, belum level kartu yang ga logis",109,2025-02-05 12:53:32,negative
rizalanugrah,1,"matchmaking sangat tidak adil, perbedaan antar level sangat jauh. dan terlalu PAY TO WIN untuk game PVP",103,2025-03-10 04:21:20,negative
Abid Manu,1,update terlalu sering.habis kuota,33,2025-07-05 07:44:44,negative
Kurnia Atari Wijaya,1,kode suppercell id yg baru nggak muncul untuk verifikasi 😭,58,2025-07-02 18:44:30,neutral
Fery Setiawan,1,"Tim pengembang selalu ikut campur dalam permainan, kalau mau menang, signal di hilangkan, mau top up juga gak berani, merasa di rugikan",135,2025-03-05 15:52:19,negative
Nabil 911,1,"dawgggggg, rip kotak warclan-nya, seharusnya update sebelum waktu claim chest warclan, hilang sudah",99,2025-06-30 21:44:30,negative
INONG-M NUR HIDAYAT,1,game kok sering relog sendiri.. lemah ke sinyal.. main game lain hak pernah trouble paket data.. ini game lemahkan sinyal,121,2025-02-13 20:34:51,negative
Zaky daus,5,coba kalo di pertempuran 2 vs 2 ada rank/trophynya pasti lebih asik soalnya game sekarang tambah seru kalau main sama temen,123,2025-03-17 10:15:57,positive
Subqi Auladie,1,"kalo war klan temuin level benteng yang setara dong masa level 14 lawan level 15 gak ngotak, level card nya beda jauh gw masih level 13 an dia 15 semua",151,2025-02-25 18:48:36,negative
Fahri abdurahman Abdurahman,1,makin kesini makin GK jelas sama sinyal udah mau menang di babak final suka Ng lag Mulu padahal jaringan bagusss tolong di perbaiki lagi,136,2025-02-08 15:13:46,negative
Heru Santoso,1,"GK usah maen game ini, musuh GK imbang peleton musuh kadang 2/3 lebih tinggi dari kita. menang kalah udah kayak di setting, kalo GK p2w GK bakal bisa menang.",157,2025-04-02 23:50:30,negative
gilang pranaja,4,Gemnya bagus seru.... Tapi cuman mengajukan pendapat kalo seri kan ada babak penentuan kenapa kalo dah bintang dua langsung menang menurut pendapat ku harus nya mendapat bintang 3 baru menag bukan bintang 2,206,2025-02-12 21:20:38,positive
Yogi A Pranata,1,"Tolong cara menawarkan game ini di perbaiki, karena game ini Bagus tapi sayang penawaran kurang menarik, jadi pemainnya ngga nambah",131,2025-04-08 08:59:38,negative
Gagah Ganteng,2,semakin sini semakin pay to win gamenya. gapernah nemu lawan yang sebanding. ketemunya player sultan rajin top up terus,119,2025-03-07 13:47:24,positive
Alzam Faiz,1,"Tolong untuk developer bikin update yang menyenangkan player Terutama terhadap point kalah dan menang nya jangan terlalu dibikin susah, kalau kalah point nya besar berkurang, ketika menang point nya kecil Apalagi selalu ketemu lawan yang seimbang, bahkan sampai kalah 10 kali dengan musuh yang selalu levelnya lebih tinggi Tolong dioptimalkan lagi, dan event nya juga diperbanyak Dan kasih solusi untuk player ketika kalah, agar tidak terlalu berlebihan sampai kalah berturut-turut",481,2023-08-12 18:11:20,positive
Cucun cunayah office,1,"Game banyak bugnya, jaringan lancar tapi gk bisa masuk. Dan ada bacaan ""gagal measuk server,periksa koneksi anda"" kocak",119,2025-02-27 18:52:28,negative
Karina Rafa,5,"Seru banget game nya, cocok buat mengisi waktu luang",52,2025-06-04 12:27:57,positive
Winda Eprilia,4,"Kalo perang klan selalu diberikan lawan yang tak sepadan dengan level yang dihadapi lawan yang level kartunya lebih tinggi dibandingkan dengan level kartu yang kita mainin yang membuat permainan tidak seru dan menyenangkan,tetapi ada kelebihannya yaitu dapat mengasah taktik dan kecerdasan dalam bermain permainan video strategi waktu nyata ini",344,2025-03-06 19:18:58,positive
Daris Taufiqul hakim,3,"Sulit untuk bermain kembali setelah 2 tahun tidak main clash royale, kalah level dan tidak mempunyai benteng atau pleton Evo, musuh memiliki level pleton lebih baik padahal trofi sama, tolong di tambahkan event atau hadiah kembali untuk player lama agar bisa beradaptasi kembali ke permainan, terimakasih semoga clash royale semakin baik",337,2025-02-17 02:20:34,positive
Bang Daud,4,Selama 3 tahun saya tidak memainkan permainan royale ini dan kini saya membutuhkan pemain PRO untuk meningkatkan trophies di level-level permainan ini,150,2025-05-03 14:00:25,neutral
Pengguna Google,2,"Saya telah bermain clash royal skitar 2 tahun lebih, makasih buat beragam pembaruan di dalam nya, saya mohon seperti yg banyak di kritik oleh yg lain tentang level raja harus sesuai, saya pernah bermain melawan level raja 13 sedangkan saya level 10, saya rasa tidak berimbang. Terlebih lagi setelah update malah semakin lemot, saat sebelum masuk pertandingan masih lancar namun waktu mulai pertandingan jadi macet aneh nya sudah di reconnect tapi juga ga bisa. Jadi saya turunkan bintang 2, makasih.",499,2020-03-15 20:03:51,negative
Wilson bagas,3,"Untuk sekarang sistem match dengan musuhnya tidak sepadan, pemain lama yang baru main kembali dihadapkan dengan pemain lain yang memang sudah pro dan ahli. Tolong di perbaiki lagi, dan kalau bisa berikan fitur Come back player mode. Agar pemain lama yang baru main lagi dapat beradaptasi. Dan juga sistem matching musuhnya jangan yang sampai kelas berat juga, kasihan player baru yang masih belajar dihadapkan dengan player pro yang notabennya susah untuk mengadapinya.",469,2024-01-29 12:09:43,negative
Rio Kyubee,4,"Game sudah keren, grafik sudah bagus, yang harus di tingkatkan lagi perbanyak kartu hero monster legend besar yg serem, lucu, dan unik banyakin, usahakan update jng terlalu besar penyimpanan game, sedang saja ukuran, jaringan diperlancar biar nyaman saat bermain, ada kan turnamen indonesia, agar mendapatkan gelar title terkuat provinsi dan kabupaten, itu saja saran saya, tanks super cell 2013 saya main game ini, sudah berkarya 8 tahun jalan, lanjutkan.",456,2022-01-13 22:08:14,positive
Davindra Ramadhan Hadi Putra,4,Terimakasih untuk developer...gamenya cukup bagus dan seru untuk dimainkan diwaktu gabut...dan untuk kartu udah cukup banyak dan untuk updatenya juga udah cukup bagus..hanya saja kekurangannya adalah ketika kita bermain mach. Tarkadang kita bertemu musuh atau lawan yang tidak seimbang levelnya dan itu memengaruhi game play yang lebih sulit atau lebih mudah....mohon untuk diperbaiki sementara bintang 4 tapi untuk ledepannya akan ada bintang 5,445,2020-12-02 10:39:03,negative
vika Amanda,3,", kenapa pas pertempuran tiba-tiba reconnect meskipun gak terlalu sering tapi sangat menggangu tolong diperbaiki dan sedikit bug saat buka royale pass tidak bisa kembali dan beberapa player lain juga mengalami kejadian serupa. mohon pihak developer membenahi game supaya kenyamanan player terjaga !! Terimakasih",311,2020-07-06 03:52:12,negative
Pengguna Google,5,"Tolong SUPERCELL i love this game tapi kenapa setiap main koneksinya tidak bagus... saat pertama buka baik baik saja tapi di saat di dalam game ada TANDA kekurangan sinyal entah apa namanya... setelah itu tak bisa di apakan lagi dan harus close game dan jika tidak TANDA itu tidak hilang hilang... perlu di close agar normal kembali.. tolong di perbaiki ... terimakasih buat 6 kartu legendnya ( ice wisard, princes , log,miner,lumberjack,and STORM WISARD) ... I LOVE CLASH ROYALE",479,2019-04-16 02:04:28,negative
Gunawan Wibisono,3,"Saya mohon lebih di optimalisasi lagi game nya, kadang sering terjadi bug seperti: jaringan data seluler/wifi tiba tiba terputus saat match dan selalu relog. Lalu juga sering terjadi patah patah saat di game dan juga membuat hp sedikit hank atau berhenti pada animasi/scene transisi dari dek ke toko, ini juga bukan satu satu nya game yg ngebug , clash of clans pun juga selalu force close & trdapat mslh serupa, saya harap supercell segera membenahi masalah ini...",465,2020-12-28 07:26:50,positive
Pengguna Google,1,"game ini sih menarik ,tapi yang bikin keselnya bila main jumpa level yang tidak seimbang. contohnya kita level6 terkadang jumpa level9 bahkan di atasnya tolong di perbaiki agar pengalaman bermain semakin seru dan menarik karna permainannya yang adill level yang seimbang.",271,2019-06-13 19:27:56,negative
Anton Dwi Kusuma,2,Game ini hampir tiap hari sy mainkan.. sayangnya sejak update beberapa bulan yg lalu game ini lebih banyak lag nya.. sy kira kedepannya bakal ada perbaikan ternyata sama saja.. hampir mustahil kayaknya kalau berharap banyak kemenangan kalau troop sy selalu lambat dropping hampir 1 elixir atau 2 - 3 detik lebih lambat.. sangat berbeda halnya saat game dalam turnamen atau war di mana timingnya sangat jarang ngelag hanya lawannya saja banyak yg kontras atau tidak imbang dgn pilihan troops sy..,495,2020-10-15 17:41:46,negative
Asep Ireng,1,"Ya minimal lawan nya level nya sebanding lah. Percuma push trophy kalo lawan nya aja beda 2 level ama kita musuh main ga usah pake mikir tinggal spam kartu aja bisa menang, la kita yang level nya di bawah yang main nya beneran mikir bisa apa, level kartu nya aja di bawah mereka.",279,2022-12-30 01:20:10,negative
Justin_GaminG,1,"Menurut gua suka sih main game ini, dan bagus untuk dimainkan. Tapi TOLONG DONG! masalahnya ngasih lawannya yang seimbang dong, masa gua masih level 7,tapi kebanyakan ngasihnya level 9 lawannya. So plz, repair the bug. Cuz dude. Pastinya banyak yang udah pensiun karena bug itu, termasuk gua.",292,2021-07-09 17:10:33,negative
Yoga Ari Mukti,5,"Tolong diperbaiki lagi kualitas sinyalnya karena ketika masuk ke arena pertempuran sering terjadi disconect yang menyebabkan permainan tidak berjalan dengan baik, padahal jaringan bagus menggunakan wifi, dan tolong di sesuaikan lagi level antara petarung karena sering terjadi antara level rendah melawan level atas. Keseluruhan permainan ini bagus saya suka dan sudah bermain game ini sejak 2016 sempat berhenti tapi sekarang udab mulai aktif lagi. TERIMA KASIH....",466,2020-04-30 19:20:26,positive
Kang Ahsin,3,"Sebelumnya mohon maaf ya supercell yang terhormat, lagi² masalah klasik yaitu matchmaking (pemilihan lawan) di war klan musuhnya sangat tidak seimbang. Harusnya pemilihan lawan jangan hanya ditentukan dari poin klan saja. Tapi juga memperhatikan level tower dan level kartu dari setiap player. Kok bisa level 11 dipertemukan dengan level 13 atau 14. Mau sehandal apapun playernya, bakal susah menangnya karena tidak seimbang. Mohon diperbaiki lagi pemilihan lawan di WAR KLAN...🙏🙏🙏 Terimakasih...",496,2022-12-16 18:49:56,negative
alfine widiyarto,2,"Masalah no 1 jaringan, kedua level:) Padahal aku masih level 7, tapi knp kok musuhnya lv 10 keatas semua:) kalo cuma sekali dua kali sih masih bisa dimaklumin, tapi ini terusan loh.. Dan akhirnya uninstal adalah ending yang bagus buat aku:)",240,2020-08-31 21:19:50,positive
Pengguna Google,1,"Kenapa setelah update jadi makin buruk, sinyal saya bagus tapi sering loading lama, sering telat start pertandingan, sering tiba2 keluar, padahal sebelumnya lancar2 saja, main ml pun nggak ada masalah, tapi waktu main cr kok kek gini yah, terpaksa saya hapus cr karna udah gak asik lagi, kalo pas main pun lawan nya juga sering gak seimbang, saya level 9 sering ketemu level 11/12,kartunya udah max, nggak seimbang lawan saya yg baru main 3 bulan",446,2019-07-03 15:49:22,negative
Pengguna Google,3,"saya kurangin bintangnya , karena saya kecewa tiap main mode 2 vs 2 tim nya selalu afk terus atau keluar dari permainan , saran dari saya tambahkan fitur seperti scor credit dalam mode 2 vs 2 , agar yang afk scor credit nya di kurangi terus tidak akan bisa bermain mode tersebut dalam waktu yang telah di tentukan . Mungkin hanya itu masukan dari saya , TERIMA KASIH.",367,2018-12-27 18:33:25,negative
Sarimie23 Rebus23,1,"Game paling menjijikan menang 1 kalahnya 100 kali level kartu dan level musuhnya terlalu tinggi ,masa iya level 7 lawan level 10 lawan level 11 udah gk normal. Gua ngerti mekanisme match makingnya semakin sering menang bakal dikasih musuh yg setara .masa iya gua mau ngalah terus. Contohnya semakin tinggi trofi(2000 trofi) tapi kalau levelnya rendah(7) bakal dikasih lawan dengan level tinggi(11)tapi trofi rendah(2000)",420,2021-05-03 14:47:20,negative
Holong Panjaitan,1,"Gamenya gk adil. Setiap match musuhnya gk setara dengan level kita, selalu dapat musuh yg tingkat levelnya tinggi. Dan gk tau kenapa pengisian eliksirnya lambat bgt. Gara² itu trophy saya terus berkurang, walau peleton saya udah kuat. Jadi, tolong diperhatikan sistemnya supercell!",281,2023-12-20 12:27:40,negative
Muhammad Subhan,2,"Sungguh sangat tidak adil permainan ini, push trophy keseringan battle dengan musuh dengan card yang tidak setara berbeda 2-3 level. Tolong perbaiki sistem nya. Agar pemain merasa kalah taktik dengan menggunakan otak, bukan level card. Karna perbedaan level card sangat merugikan pemain.",287,2021-11-24 20:37:37,negative
-TWINS- .LIFE.,5,"Ini game seru bangetttt ( beberapa tahun yang lalu ya 😂) Sekarang gamenya jadi ga ngotak, ngasih lawan yang levelnya beda jauh. Ini kayaknya disengaja sih biar kita kalah terus jadi sering mainin game ini : ( *Saran : kalau bikin sistem pertandingan, yang sportif dong... Ngasih musuhnya yang sepadan ( level sama )",315,2021-02-05 23:16:32,negative
Yaseen Shakeel,1,Pada update desember ini yang membuat saya merasa kesal adalah sistem point yang seperti dulu lagi kalo kalah -30 jadi main ngepush trophy jika menang sekali dan kalah sekali sungguh tidak ada bedanya membuat waktu terbuang sia-sia. Waktunya pensiun main Clash Royale lagi.,273,2021-01-02 08:26:10,negative
Pengguna Google,1,"Pada saat lawan yg levelnya lebih tinggi , mungkin 4 level diatas kita susah untuk melawannya seperti pada saat mengeluarkan kartu agak tersendat sendat kaya sinyalnya jelek padahal jelas jelas sinya yang didapat bagus. Kaya di persulit buat ngelawan padahal jelas jelas 90% bisa menang.",287,2019-12-02 23:19:57,negative
rifky panser junior,1,"Setelah update kok sering keluar sendiri dalam game. Malah nge-bug. Padahal buat main game lain aman dan lancar. Parah sering forclose. Dibetulin dong, Di android. Pc dikembangin android malah amburadul. Sudah dicoba pakai WiFi kuota sama saja. Suka keluar sendiri pas dlm match.",279,2023-12-13 16:58:50,negative
Pengguna Google,1,"Pertama"" emang bikin asik dan seru, dilevel 6 keatas masa iya sih dikasih musuh level 10,11,12 kan gak logis, gila. Lama-lama biking frustasi. Tolonglah untuk penyesuaian musuh agak di control biar tambah seru. Kalo gini terus lama"" cpt bosen dan uninstall kan rugi sendiri. Tolong supercell",291,2020-01-15 03:01:55,negative
Winda Agustin,1,"Gatau kenapa, setiap aku maen mode pertempuran (rank) sekali menang abis itu kalah terus. Dan setiap hari kaya gitu. Rank nya naik dua kali, turunnya 7-8 kali. Abis itu kalo kalah dapat -31, -32 kalo menang cuma +26. Ini permainannya yg mainin aku atau emang akunya yg gabisa main ya? Unistall aja",297,2023-05-20 13:38:40,negative
m. yudid Aditama,1,"Ap masalahmu clash royale..? Saya sudah bermain game ini selama 6 tahun dan saya sangat kecewa untuk di permainan mode peringkat di gunakan sistem pemilihan kartu, karena memperlambat proses permainan dan menurunkan kesempatan untuk menang jd lebih kecil, saya harapkan untuk mengembalikan sistem pertarungan di mode peringkat menjadi seperti semula.. terimakasih..",365,2023-04-04 05:44:13,negative
ROMAN ARBANI,1,"Kembalikan mode jalur legenda seperti dulu jangan mode draft percuma capek2 kita up kartu yang kesukaan kita tapi malah ngak bisa kita mainkan,banyak pemain yang tidak main jalur legenda karena tidak bisa memainkan kartu yg mereka sukai... Dan satu lagi kembalikan mode pesta seperti dulu agar pemain mudah mendapatkan peti untuk mendapatkan kartu2 tambahan agar bisa cepat di tingkat levelnya... Sekian dan terimakasih,di mohon dengan sangat.....",447,2023-04-23 12:01:23,negative
Pengguna Google,2,"Tolong match making diperbaiki, mungkin akan lebih nyaman jika pemain ketika bertanding dipertemukan dengan level yang seimbang atau level yang sama, dengan begitu jarak level troops tidak terlalu jauh, dan akhirnya mengandalkan strategi daripada level troopsnya, karena sekarang saya merasakan kemenangan tidak ditentukan oleh strategi melainkan level pemain, dan level troops nya",381,2020-03-21 23:22:51,positive
Pengguna Google,5,"Game nya sih bagus , tapi kenapa kalo mau tempur level musuh nya gak seimbang , kadang kadang level musuh jauh lebih tinggi dan kadang rendah , sebenernya aku baru main clash royale dan baru level 3 tapi kenapa langsung ketemu musuh level 6 ,7,8,9 ? kan bagi pemula pasti kesusahan , Tolonglah supercell lebih dipertimbangkan lagi masalah ini.",343,2020-03-05 16:13:10,negative
「Samuel」,2,Menurut saya game ini bagus dari segi efek suaranya sampai efek damage tetapi ada yang kurang yaitu kenapa disaat ingin bertempur musuh itu selalu memiliki level lebih tinggi dari saya dan pula level peletonnya maks pula tolonglah buat pihak SUPERCELL untuk memperbaiki nya jika sudah saya pasti akan kasih bintang 5 kok aku janji......,336,2020-11-05 21:32:03,negative
Mahira Bima,3,"Tak ada game yg sempurna.. Kekurangan : musuh tidak seimbang. Kelebihan : gaada. Saran untuk player lain : lawan disesuaikan dengan tropy kalian, jika kalian sudah menang berkali kali, pasti pertandingan selanjutnya akan diberikan lawan dengan level yang lebih tinggi. Lebih baik, jika mendapat lawan yang sulit, kita mending main ke mode lain seperti 2 v 2 dll hingga beberapa waktu dan jika sudah lama, baru main 1 v 1.",421,2020-09-01 06:52:40,negative
Muhammad Faishal Farras,1,"Tolonglah kalo lagi tanding level pemain diperhatikan, selisih level sangat jauh antara 3-4 level di atas saya. Iya sih kalo ketemu lawan disesuaikan dengan trophy tapi level juga diperhatikan lah. Kalo gini caranya malah berat sebelah dan udah bukan fair lagi namanya",268,2020-07-13 23:29:29,negative
Rahmat Suryadi,1,"Ini buat developer, saya harap musuhnya bisa seimbang dong, benteng saya level 8 tapi musuh saya level 10 sampai 11 dan pernah kejadian melawan level 13 dan terjadinya sudah berkali-kali, masalahnya di level segituan pasti perbedaan sudah benar-benar jauh seperti card level, hp maupun kerusakan benteng. Gimana caranya saya bisa menang kalau lawan saja tidak seimbang wahai developer? Saya sudah di tingkat Penantang 2 dan tidak pernah tembus.",444,2020-11-04 07:22:54,negative
Andika Hermansyah,4,"Game nya baguss,tapi untuk developer tolong dong saat saya main selalu bertemu dengan lawan yang gk setara dengan saya!! Seperti level kastil yang lebih tinggi dan level kartu dek tempur yang lebih tinggi. ""Jadi susah bnget!!.Jadi saya minta pada developer untuk disesuaikan lgi untk mencari lawan yang setara dengan level kastil atau level kartunya. Klo beda 1 level gk masalah! Tpi ini beda levelnya selalu lebih dari satuu! Jadi mohon disesuaikan lgi!!",455,2021-03-07 12:39:51,positive
Asmodeus 666,1,"matchesing lawannya gak jelas, ketemu musuh yang levelnya jauh lebih tinggi terus. Poin yang di dapat juga gak sesuai, kalah -30+ menang 29- dan rasio memang kalah juga gak sesuai sekalinya menang selanjutnya kalah terus gimana mau tambah poin. Tolong lah di perbaiki jangan seperti ini terus",292,2022-04-08 10:14:45,negative
Pengguna Google,3,"Untuk versi 2.8-terbaru tolong diperbaiki 1. 2v2 mode berasa kurang fair, dimana banyak yang mengeluhkan perbedaan level rata-rata yang terlalu jauh (padahal tujuan 2v2 cuma cari kesenangan, bukan cari trophy) 2. Saat pindah ke tab ""special offer"" sangat lag atau malah ada yang force close *saran bakal diupdate kalo nemuin lagi",329,2019-07-11 22:57:54,negative
Pengguna Google,1,"Banyak sekali kekurangan dari game ini, contohnya seperti lawan yang beda level, nyawa dark knight terlalu besar dan kerusakannya terlalu deras sekali,, tolong kalau bisa di perbaiki dong gamenya, jangan sampai sudah mau naik arena berikutnya malah dapat lawan yang levelnya kurang setara, terus level yang terlalu lama baru bisa naik, harusnya kalo levelnya lama naik yah koinnya harus diperbanyak dari hadiah menang biar bisa up kartu dan naikin level. Begitu saja tolong di baca yah dan diperbaiki",500,2019-11-17 21:51:49,negative
Chaerisna Mahardika,4,Kurangnya hanya perbedaan level saat bertanding.. itu saja.. tolong saat bertanding levelnya disamakan atau disetarakan.. saya berikan bintang 4 dulu. Nanti kalau sudah ada perubahan.. nilai sempurna untuk game yg saya sangat cintai ini!!,238,2020-11-19 15:54:26,positive
Sifa'ul Secript,1,"Kenapa sistem draw sekarang dihilangkan, kalau level benteng musuhnya lebih tinggi dari kami itu sangat menguntungkan mereka. Dan level benteng musuh selalu diatas kita sedangkan trophy mereka dibawah kita jadi minesnya lebih banyak dari plusnya saat kita kalah atau menang.",274,2020-09-06 18:17:26,positive
YesStreet jr. Rrg,1,"Setelah update terbaru bukan malah bagus malah makin hancur game ini. Sudah lama dan susah dapetin exp, ditambah saat match ketemu musuh diatas level kita, bukan level raja saja tapi level pasukan juga !!! Tolong difilter dan di perbaiki lagi saat mencari musuh di match biar ketemunya musuh yang 50/50 biar adil tidak memberatkan sebelah !!!",342,2022-11-21 12:37:34,negative
Havez ababil,3,"1) Tolong tambahkan sistem report dan hukuman, untuk player yang meninggalkan pertempuran 2v2 secara sengaja, bukan disebabkan oleh gangguan jaringan dsb. 2) sebisa mungkin agar pertandingan bisa balance, minimal level troop musuh bisa sama, dan level raja setidaknya cuma beda 1 level, ataupun sebaliknya. 3) sebisa mungkin agar level 14 tidak menjumpai level yg dibawahnya.",375,2021-11-01 19:55:03,neutral
Pengguna Google,1,Game Gak bagus Masa musuh di kasih tambahan waktu. Kalo saya sudah nge hancurin satu tower musuh di kasih fase penentuan/tambahan waktu. Kalo musuh udah nge hancurin satu tower saya langsung pertandingan selesai. Game gak guna sampah di platform android/IOS,257,2018-11-20 23:00:17,negative
Pengguna Google,1,"Supercell tolong dong perbaiki lagi masalah 1vs1 nya, musuh terkadang tidak imbang dalam segi level. Walaupun decknya levelnya kurang lebih tapi dalam segi tower nya berbeda level juga mempengaruhi dalam permainan. Saya kurang suka karena musuhnya selalu tidak imbang dengan kita",279,2020-03-05 07:33:44,negative
Fawwaz.A.N,1,"Tolong lah buat developernya. Sistem matchmaking yang buruk, selalu bertemu lawan diatas level raja. Gamenya juga makin berat, seringkali ditengah match mengalami fps drop. Apalagi ketika sehabis match selalu ada animasi mastery card yang mengganggu dan tidak bisa di lewati.",275,2022-05-29 13:14:43,negative
Fitri Nurfitriani,4,"Perkenalkan namaku Nanda. Kelas 8, main game ini sudah 4 tahun. Udah mulai ada perubahan tidak seperti dulu. Tapi kenapa ketika aku battle kadang error disaat saat kritis. Wifi nyala, kuota ada, Tapi kenapa sering error disaat kritis. Tolong diperbaiki",252,2020-05-31 00:49:39,negative
Gary,4,"Untuk update terbaru, knp damage dan hitpoint dari bomber diturunkan bahkan princess dan dart goblin tdk mati dgn sekali hit serta langsung mati ketika kena arrow. Itu sangat merugikan sy krn telah lama menggunakan bomber dan telah mengupgrade ke level max kalau bisa hitpoint dan damagenya kembali seperti dulu lagi.",317,2021-04-05 23:30:12,negative
galih mahendra,1,"Sedih banget, pengennya seneng seneng mainin biar bisa naik...ehhhhhh musuhnya selalu 2 tingkat diatas bahkan 3 tingkat diatas level saya...setelah berkali kali kalah, baru dikasih level yg sama atau dibawahnya setingkat, setelah itu musuh tinggi lagi...auto males sebenernya, untung masih ada pesta yg gak ngurangin poin 🤕, selama masih matching dengan beda level terlalu jauh...bintang 1 gak nerubah...",404,2021-04-02 13:42:09,negative
Mirza Alfian Baihaqi,1,"Keluhan saya setiap main dapet musuh yang ga seimbang, perbedaannya sangat jauh. Aku yang sebelumnya arena 11 level 7 minus terus. Sam update yang sekarang arena harus sesuai kritetia level rajanya, enak dulu musuh nya imbang mudah sekarang kayak imposible untuk menang, hard game sekali, apakah gara² saya dulu pensi terus main lagi jadi musuh nya level nya naik terus dan aku stak di level 7 . Jadi frustrasi ama males main !!!",429,2022-11-04 00:13:21,negative
